sq_feet,dt_dist,color,pool,blue,green,rent
1195.303732012527,3.5056171572049926,Red,1,0,0,961.4317545485193
1502.8073741985904,4.577163742580575,Red,0,0,0,923.1069748099845
1839.383201766399,2.606373194387656,Red,0,0,0,1257.2495815170964
1405.328042958458,3.3430344345086116,Blue,0,1,0,1016.5779083454898
1390.68231518159,4.262791013996737,Red,0,0,0,860.338069927276
1318.78957823379,4.128393417475403,Red,0,0,0,816.7330338898828
1483.6649611955593,3.6420672331546173,Blue,0,1,0,1056.4621111791605
1411.930075359076,3.2857733074980304,Blue,0,1,0,1024.0623873764516
1400.948624525994,4.026080887021522,Blue,0,1,0,979.3599928171197
1788.8831809297394,4.578050444696878,Green,0,0,1,1273.3157044159736
1530.0483488541458,4.111484386864323,Red,0,0,0,965.4596248546859
1392.2398339916913,4.836569359614262,Red,0,0,0,832.7394158134706
1418.118422686326,5.772610762473983,Red,0,0,0,804.052357756729
1584.4697113077827,4.642224728673108,Red,0,0,0,977.0175614817924
1636.0158832198456,5.45219634620735,Green,0,0,1,1122.6013009435242
1633.2476405086045,2.8914050113206233,Blue,0,1,0,1198.7030977899917
1447.897400835394,2.83452082854075,Red,1,0,0,1171.8021391577383
1420.3245981200926,5.369670570973383,Blue,0,1,0,925.7436901353955
1656.8516347946952,4.350307004736912,Red,0,0,0,1042.280794119441
1180.8792239950585,4.071015319657918,Blue,1,1,0,1023.064690813645
1431.8269614333726,4.286043689086264,Red,1,0,0,1087.9766885490476
1393.2533799106252,3.6678332545786767,Red,0,0,0,891.8857032085036
1571.8885514269034,5.487602183902164,Red,1,0,0,1125.9418768037242
1526.2307578062887,4.767585797139763,Red,1,0,0,1129.9822406074138
1687.1901187828946,5.448465664294722,Red,0,0,0,1008.6097999332901
1399.352012671262,4.879700582001712,Blue,0,1,0,935.5613797697976
1486.197499328917,4.251816909900869,Blue,1,1,0,1227.7474040351985
1341.266848026954,4.893928359020117,Blue,0,1,0,894.1903756678618
1511.3584422341244,3.1580014783385524,Blue,0,1,0,1100.0508356469595
1725.5763369983429,4.071662957276501,Green,0,0,1,1254.320288035015
1594.7982641370293,4.754068472628974,Red,1,0,0,1178.6553612644718
1633.497663987639,4.552675112099351,Red,0,0,0,1015.8146091863798
1540.5009409961895,5.307927101585094,Red,1,0,0,1112.954303618078
1565.4101408979423,4.1298248135404165,Red,0,0,0,989.2958579515387
1494.922588544179,4.792002088785582,Red,0,0,0,906.8457075416462
1485.1447901858226,3.862632599612664,Blue,1,1,0,1246.4697231494424
1222.5589740481212,3.659555761190298,Blue,0,1,0,872.81349377417
1522.920515313438,3.5105302081579683,Red,1,0,0,1190.517850311508
1453.908042077737,4.857731274193722,Blue,1,1,0,1174.8490657447296
1370.9799807602808,4.361423503825717,Red,0,0,0,841.6148113409106
1456.0420427357271,3.7560694151826937,Blue,0,1,0,1031.4259591558744
1438.12751016587,4.032136997623048,Blue,0,1,0,1005.0824072349565
1388.1068646724216,3.992684917766085,Red,0,0,0,872.0405593823908
1485.2625095605815,3.8935641168339816,Blue,0,1,0,1045.005550850708
1747.5025850312518,3.6530599046429764,Red,1,0,0,1340.5988142897272
1465.5743102155227,4.42735585657534,Blue,0,1,0,1004.5342243220987
1711.6143376597317,3.775099072478065,Red,0,0,0,1109.375082737909
1493.8618553096112,3.7583018635341165,Red,0,0,0,957.7882055400221
1550.020108908491,4.679814764019042,Blue,0,1,0,1051.0233380349914
1841.67648054275,3.342455214170879,Blue,1,1,0,1522.050775671381
1451.8803392686048,5.343962585755655,Blue,0,1,0,949.1181082002405
1678.9522618552458,3.6122159025088343,Blue,0,1,0,1194.6557881732303
1599.133696733623,3.898623429445387,Red,0,0,0,1024.4624162412667
1412.1650679040952,5.59636538041102,Blue,1,1,0,1108.6972785123155
1195.5550962494867,4.319951893195623,Blue,0,1,0,820.8909727148595
1407.0444698033673,3.5481901748101783,Green,0,0,1,1057.5216201218482
1629.624821830184,2.6614901419280477,Red,0,0,0,1107.6628681847262
1233.0415301246614,3.3928323604344164,Red,0,0,0,793.4874530655422
1709.8189701369743,5.508423764451711,Blue,0,1,0,1121.4520908732961
1447.414835746786,3.6226698848508523,Blue,1,1,0,1232.0568907802074
1761.3706452722977,4.190819633236022,Green,0,0,1,1273.4184700288072
1740.2577038594816,3.648227756508451,Green,0,0,1,1285.7690048762145
1295.4248866333567,3.3368340603140045,Blue,0,1,0,939.9557176276494
1424.053468994832,4.615346563487703,Blue,0,1,0,966.0701001219971
1280.7342568986676,4.101433995115627,Red,0,0,0,791.4422800732859
1439.1260823053708,4.083142307794136,Blue,0,1,0,1003.2311422240526
1363.5146663790713,3.332932049358907,Red,0,0,0,887.8136639974044
1692.8405679836503,3.1168546795941454,Red,0,0,0,1129.145663608848
1706.5686371999886,4.580975999448473,Blue,0,1,0,1165.5492460675682
1310.7073349933103,3.906707830492899,Blue,0,1,0,922.1597429706721
1661.7082811088599,3.687036029296462,Red,0,0,0,1078.8439953113789
1473.7434352463445,4.579634734127492,Red,0,0,0,902.6386679660665
1664.5255066428783,4.861397311322614,Blue,1,1,0,1322.097989083884
1512.4294221125135,3.6683677354245288,Blue,1,1,0,1275.2822087075328
1703.2851663015863,4.700341310455326,Blue,0,1,0,1157.2825508883438
1383.1886385282603,4.0930653293148005,Blue,0,1,0,963.578780504042
1349.1117218923944,3.53187604298475,Red,0,0,0,867.7844031754385
1444.3214149063651,5.103982604148185,Red,0,0,0,855.8258602270463
1224.539219986578,5.389879452793749,Red,0,0,0,687.6834813509172
1665.6946244684377,4.921669408385613,Blue,0,1,0,1119.9027667086257
1694.4621973592484,4.149007708218959,Green,0,0,1,1228.673152740526
1663.088149122868,5.062109232036086,Red,0,0,0,1011.056242784203
1147.7294148235706,4.133274844946348,Red,0,0,0,696.746848129182
1500.8109990611845,3.635669519390506,Green,0,0,1,1118.7842233733036
1451.9808876874324,3.4439453589543403,Red,1,0,0,1144.1893534334854
1235.1814654947584,5.27901025993852,Red,0,0,0,700.6765128494048
1444.3031961284967,4.292938502027082,Blue,0,1,0,996.3653121885936
1492.788415420641,4.392080777948755,Green,0,0,1,1075.347851897011
1500.0518001919577,4.210221186811583,Red,0,0,0,939.5252007937913
1443.4643794897368,4.5059101354874285,Blue,0,1,0,985.1295588684443
1354.5195958666993,4.069891291536056,Red,1,0,0,1044.6691525298868
1446.2155266980064,4.7689542386953345,Blue,0,1,0,973.9031567538376
1429.8248647253854,4.249138424250517,Blue,1,1,0,1188.4204840952439
1571.5536012084362,3.495514954187345,Red,1,0,0,1225.311773136538
1604.670249700474,3.6807589822506865,Red,0,0,0,1039.2312256777973
1629.9249260098804,3.080335384426089,Blue,0,1,0,1186.9306789856118
1551.0361935803448,4.282119616838703,Red,0,0,0,971.6193546643061
1382.6385164431267,4.592116661175738,Blue,1,1,0,1138.2411284514017
1457.8897756736333,4.007459391058302,Red,0,0,0,920.1498734186282
1549.2523423615282,5.921027644660534,Red,0,0,0,888.425257420043
1720.6080148694857,4.328212138694897,Blue,0,1,0,1188.015003473895
1433.7665724648757,4.728754375598164,Green,0,0,1,1017.1988819455046
1399.4400762496966,5.539924396673616,Red,0,0,0,802.6118335411069
1270.3686009422515,2.313970299227855,Green,0,0,1,1023.5595056981832
1449.37245424812,3.5440679345369053,Blue,0,1,0,1037.3573212468386
1345.2631965364565,3.500548891269694,Red,0,0,0,866.6567930120349
1410.3464973525122,4.01928545577598,Red,0,0,0,886.2782753579595
1666.8792792971383,4.681624456946165,Blue,0,1,0,1132.7342726606885
1305.007640737612,5.355463549260778,Green,0,0,1,895.7321710532894
1433.4423850711023,4.02396779493322,Red,0,0,0,902.2112798031105
1565.022734546829,3.808559760480331,Green,0,0,1,1155.0879261587638
1649.1644737706292,4.257821657370101,Red,0,0,0,1041.5240487709355
1587.8916674650936,3.423135267052877,Red,0,0,0,1040.3674038729216
1396.1120870673003,4.5775256524180445,Green,0,0,1,998.4021783262078
1463.023392541435,5.022024868602195,Blue,0,1,0,973.0151313488948
1471.1701540728457,5.158351127923629,Red,0,0,0,871.9015514548105
1540.7479504676976,4.098234901673804,Blue,0,1,0,1073.611820243698
1436.2794111640753,5.055101871609289,Blue,0,1,0,952.6404942343881
1483.915077206836,4.1577293275634375,Blue,0,1,0,1030.8540876666132
1606.2530267353495,4.030002776707423,Red,0,0,0,1022.8769798793733
1685.8394327093488,4.522805205703527,Green,0,0,1,1203.9473426113677
1275.7900354820124,2.801474216260459,Red,0,0,0,852.9793140243858
1505.0612321569267,3.3085702416654894,Blue,0,1,0,1088.1143504265742
1475.4051230519433,5.015304693018292,Red,0,0,0,882.0183514854457
1473.3940694876828,4.392060581573531,Red,0,0,0,911.7728195627012
1621.3818520914883,4.703908443255781,Red,0,0,0,999.7718743012526
