start_day,max_temp,avg_temp,min_temp,max_wind,avg_wind,min_wind,total_precip
1,40,38.1,35,8,4.5,0,0.02
2,42,39.4,37,12,7.1,0,0
3,49,42.3,35,15,9.6,5,0
4,47,42.1,36,9,3.5,0,0
5,43,39.4,33,13,6.2,0,0.05
6,41,38,34,22,12.7,0,0.29
7,56,39.8,30,41,14.8,3,0.21
8,37,29.9,25,23,16.7,8,0.26
9,38,29.9,20,15,7.7,0,0
10,47,44.4,39,23,13.8,3,0.03
11,45,41.7,40,12,6.7,0,0.14
12,45,41.2,38,15,11.8,8,0.16
13,41,38.4,35,25,6.4,0,0.42
14,40,26.9,15,21,14.3,6,0.11
15,31,22,12,20,10.6,5,0
16,46,38.7,30,18,11,3,0
17,48,40.5,32,14,9,0,0
18,42,39.2,32,17,11.1,5,0
19,46,41.3,32,26,15,6,0.45
20,36,30.3,24,17,12.1,5,0
21,33,25.9,17,15,10,5,0
22,48,39,30,14,11.8,7,0
23,57,44.8,35,15,9,6,0
24,64,49,36,17,9,0,0
25,51,46.5,44,8,5.5,0,0
26,48,45.3,44,17,9.8,3,0.41
27,55,44.6,33,33,20.6,9,0.62
28,37,33.4,28,21,15.4,7,0.13
29,34,28.8,22,18,12.4,7,0
